"query","search interest","increase percent"
"wpf",3,"Breakout"
"more dark chocolate lover",1,"Breakout"
"kann proteinpulver schlecht werden",1,"Breakout"
"reeses proteinpulver",1,"Breakout"
"wie viel protein am tag",1,"Breakout"
"morenutrition",0,"3.150 %"
"proteinreiche lebensmittel",0,"2.600 %"
"hsn",3,"300 %"
"proteinpulver kaufland",5,"170 %"
"more vegan protein",2,"130 %"
"esn protein pulver",6,"120 %"
"foodspring",2,"120 %"
"kaufland proteinpulver",5,"100 %"
"proteinpulver ohne geschmack",3,"100 %"
"kann proteinpulver ablaufen",1,"90 %"
"ironmaxx proteinpulver",6,"90 %"
"more protein pulver",4,"80 %"
"ironmaxx",6,"70 %"
"metaflow",2,"70 %"
"more proteinpulver",60,"70 %"
"shaker",4,"70 %"
"prozis proteinpulver",3,"70 %"
"proteinpulver more",56,"70 %"
"more",57,"70 %"
"koro veganes proteinpulver",3,"60 %"
"proteinpulver proben",2,"60 %"
"rewe proteinpulver",9,"60 %"
"proteinpulver ohne sucralose",2,"60 %"
"hsn protein",2,"60 %"
"esn proteinpulver",92,"60 %"
"proteinpulver esn",90,"60 %"
"rocka",3,"50 %"
"esn",88,"50 %"
"naduria protein",2,"50 %"
"more nutrition",15,"50 %"
"proteinpulver rewe",8,"50 %"
"bestes veganes proteinpulver",2,"50 %"
"proteinpulver laktosefrei",2,"50 %"
"lidl proteinpulver",13,"50 %"
"more protein",17,"40 %"
"protein pulver",20,"40 %"
"proteinpulver lidl",13,"40 %"
"esn protein",20,"40 %"
"proteinpulver gesund",8,"40 %"
"koro proteinpulver",17,"40 %"
"ist proteinpulver gesund",4,"30 %"
"esn vegan protein",2,"30 %"
"veganes proteinpulver dm",3,"30 %"
"koro",17,"30 %"
"proteinpulver aldi",11,"30 %"
