"query","search interest","increase percent"
"esn kreatin",100,"10 %"
"kreatin esn",99,"10 %"
"esn",97,"10 %"
"kreatin wirkung",90,"-20 %"
"wirkung kreatin",90,"-20 %"
"kreatin monohydrat",89,"-3 %"
"dm kreatin",87,"20 %"
"dm",86,"20 %"
"kreatin dm",86,"20 %"
"creatin",82,"-9 %"
"kreatin frauen",58,"20 %"
"was ist kreatin",55,"-10 %"
"kreatin pulver",54,"-1 %"
"kreatin wie viel",49,"-20 %"
"kreatin einnehmen",47,"0 %"
"taurin",44,"-20 %"
"vaya kreatin",42,"-20 %"
"vaya",42,"-20 %"
"protein",40,"-10 %"
"creapure",39,"5 %"
"kreatin creapure",39,"-3 %"
"kreatin nebenwirkungen",38,"3 %"
"creapure kreatin",38,"3 %"
"nebenwirkungen kreatin",37,"0 %"
"kreatin für frauen",31,"30 %"
"keratin",30,"-6 %"
"kreatin kapseln",29,"-20 %"
"kreatin kaufen",27,"-20 %"
"rossmann kreatin",25,"8 %"
"kreatin rossmann",25,"9 %"
"kreatinin",23,"-4 %"
"more kreatin",23,"60 %"
"kreatin und taurin",22,"-20 %"
"creatine",21,"3 %"
"kreatin test",20,"-20 %"
"wofür kreatin",20,"-5 %"
"kreatin wofür",20,"-3 %"
"kreatin wann einnehmen",19,"5 %"
"wann kreatin einnehmen",17,"1 %"
"creatin monohydrat",15,"-5 %"
"kreatin amazon",15,"-30 %"
"kreatin wert",13,"-20 %"
"kreatin gummibärchen",13,"50 %"
"wie viel kreatin pro tag",12,"-20 %"
"sunday natural kreatin",12,"-6 %"
"kreatin testsieger",12,"4 %"
"sunday natural",12,"-10 %"
"wann kreatin nehmen",11,"50 %"
"esn creatin",11,"7 %"
"kreatin muskelaufbau",11,"-20 %"
