"query","search interest","increase percent"
"omega 3 kapseln",100,"20 %"
"omega 3 norsan",63,"10 %"
"norsan omega 3",63,"10 %"
"norsan",62,"10 %"
"omega 3 fettsäuren",44,"7 %"
"omega 3 öl",39,"10 %"
"omega 3 vegan",39,"0 %"
"omega 3 kinder",37,"10 %"
"omega 3 algenöl",35,"20 %"
"algenöl omega 3",35,"10 %"
"algenöl",34,"10 %"
"omega 3 dha",31,"-30 %"
"epa omega 3",31,"-30 %"
"magnesium",27,"-10 %"
"omega 3 dha epa",25,"-40 %"
"omega 3 epa dha",25,"-40 %"
"was ist omega 3",25,"6 %"
"omega 3 dm",21,"0 %"
"dm omega 3",21,"1 %"
"vitamin d",20,"-20 %"
"omega 3 test",18,"-20 %"
"norsan omega 3 vegan",18,"3 %"
"omega 3 vegan norsan",17,"0 %"
"sunday natural omega 3",17,"1 %"
"für was omega 3",17,"-6 %"
"sunday natural",17,"1 %"
"omega 3 sunday natural",17,"2 %"
"doppelherz omega 3",15,"-3 %"
"omega 3 doppelherz",15,"-2 %"
"vitamoment",15,"20 %"
"omega 3 supplement",15,"-30 %"
"vitamoment omega 3",15,"10 %"
"omega 3 vitamoment",15,"9 %"
"omega 3 fischöl",14,"-6 %"
"esn",14,"0 %"
"esn omega 3",14,"-1 %"
"omega 3 esn",14,"0 %"
"omega 3 apotheke",13,"-10 %"
"vitamin d3",12,"6 %"
"omega 3 lebensmittel",12,"-5 %"
"omega 3 wirkung",12,"6 %"
"omega 3 wofür",12,"-6 %"
"wofür omega 3",12,"-6 %"
"leinöl omega 3",12,"10 %"
"omega 3 fish oil",12,"-30 %"
"leinöl",11,"8 %"
"omega 3 für kinder",11,"10 %"
"zink",11,"5 %"
"omega 3 kids",11,"-20 %"
"norsan omega 3 kapseln",11,"10 %"
