"query","search interest","increase percent"
"protein",100,"6 %"
"esn proteinpulver",92,"60 %"
"proteinpulver esn",90,"60 %"
"esn",88,"50 %"
"more proteinpulver",60,"70 %"
"more",57,"70 %"
"proteinpulver more",56,"70 %"
"dm",45,"30 %"
"proteinpulver dm",45,"30 %"
"dm proteinpulver",45,"30 %"
"whey",39,"0 %"
"whey proteinpulver",38,"1 %"
"veganes proteinpulver",36,"7 %"
"proteinpulver whey",36,"-7 %"
"proteinpulver vegan",24,"-6 %"
"vegan proteinpulver",24,"-6 %"
"whey protein",22,"3 %"
"test proteinpulver",22,"-20 %"
"proteinpulver test",22,"-20 %"
"vanille proteinpulver",21,"-10 %"
"proteinpulver vanille",20,"-10 %"
"esn protein",20,"40 %"
"protein pulver",20,"40 %"
"rossmann",19,"10 %"
"proteinpulver rossmann",19,"10 %"
"rossmann proteinpulver",18,"20 %"
"vetain proteinpulver",18,"20 %"
"vetain",18,"30 %"
"welches proteinpulver",18,"-7 %"
"koro",17,"30 %"
"koro proteinpulver",17,"40 %"
"more protein",17,"40 %"
"more nutrition",15,"50 %"
"lidl proteinpulver",13,"50 %"
"bestes proteinpulver",13,"1 %"
"beste proteinpulver",13,"-3 %"
"proteinpulver lidl",13,"40 %"
"proteinpulver aldi",11,"30 %"
"aldi proteinpulver",11,"30 %"
"proteinpulver kaufen",9,"3 %"
"bio proteinpulver",9,"20 %"
"rewe proteinpulver",9,"60 %"
"proteinpulver ohne süßungsmittel",8,"20 %"
"schoko proteinpulver",8,"-20 %"
"proteinpulver schoko",8,"-20 %"
"proteinpulver ohne zucker",8,"-20 %"
"proteinpulver gesund",8,"40 %"
"proteinpulver rewe",8,"50 %"
"protein shake",7,"10 %"
"bulk proteinpulver",6,"0 %"
