"query","search interest","increase percent"
"vitamin d mangel",100,"30 %"
"mangel vitamin d",99,"20 %"
"k2",43,"6 %"
"vitamin d k2",42,"3 %"
"vitamin k2",42,"3 %"
"k2 vitamin",41,"2 %"
"magnesium",41,"-7 %"
"vitamin d3",39,"1 %"
"vitamin d wert",35,"20 %"
"vitamin d tropfen",33,"30 %"
"vitamin b12",31,"-2 %"
"vitamin d tabletten",30,"3 %"
"was ist vitamin d",29,"10 %"
"symptome vitamin d mangel",27,"4 %"
"vitamin d mangel symptome",27,"5 %"
"calcium vitamin d",26,"-8 %"
"vitamin d test",25,"-7 %"
"vitamin d baby",22,"6 %"
"20000 vitamin d",21,"10 %"
"vitamin d 20000",21,"8 %"
"omega 3",19,"-10 %"
"vitamin d apotheke",19,"-6 %"
"vitamin d 2000",17,"9 %"
"vitamin d kinder",17,"-9 %"
"zu viel vitamin d",16,"6 %"
"vitamin d 1000",15,"-10 %"
"vitamin d und magnesium",15,"10 %"
"vitamin d dm",15,"8 %"
"vitamin d einnahme",15,"7 %"
"dm vitamin d",15,"5 %"
"sonne vitamin d",14,"20 %"
"vitamin d spiegel",13,"9 %"
"überdosierung vitamin d",13,"10 %"
"vitamin d überdosierung",12,"5 %"
"vitamin d dekristol",12,"1 %"
"vitamin d3 k2",12,"-3 %"
"dekristol vitamin d",12,"-6 %"
"dekristol",12,"-5 %"
"vitamin d mit k2",11,"-1 %"
"vitamin d 4000",11,"-10 %"
"vitamin d lebensmittel",11,"-2 %"
"vitamin d supplement",10,"-30 %"
"vitamin d und k2",10,"-5 %"
"vitamin d rechner",9,"6 %"
"vitamin d kaufen",9,"-10 %"
"vitamin d nebenwirkungen",8,"20 %"
"vitamin d tropfen baby",8,"40 %"
"vitamin d kapseln",8,"-4 %"
"ferritin",8,"3 %"
"vitamin d öl",8,"3 %"
