"query","search interest","increase percent"
"esn whey protein",100,"30 %"
"whey protein esn",100,"30 %"
"esn protein",99,"20 %"
"esn",99,"30 %"
"esn whey",98,"30 %"
"whey isolate",81,"-20 %"
"whey protein isolate",81,"-20 %"
"whey isolate protein",80,"-20 %"
"isolate whey protein",80,"-20 %"
"whey protein pulver",71,"20 %"
"protein pulver",69,"20 %"
"whey protein powder",48,"-10 %"
"protein powder",48,"-20 %"
"proteinpulver",34,"30 %"
"clear protein",34,"20 %"
"clear whey protein",33,"20 %"
"whey clear protein",33,"20 %"
"clear whey",33,"20 %"
"more whey protein",30,"40 %"
"more protein",29,"40 %"
"more",29,"40 %"
"whey protein dm",26,"20 %"
"dm whey protein",25,"10 %"
"whey protein test",25,"-20 %"
"designer whey protein",22,"-10 %"
"whey protein on",22,"-40 %"
"on whey protein",21,"-40 %"
"myprotein",21,"-30 %"
"whey isolat",21,"20 %"
"gold whey protein",21,"-30 %"
"whey isolat protein",20,"10 %"
"whey protein isolat",20,"20 %"
"myprotein whey protein",20,"-30 %"
"whey protein myprotein",19,"-30 %"
"was ist whey",19,"3 %"
"was ist whey protein",19,"4 %"
"esn designer whey",18,"4 %"
"esn designer whey protein",18,"-7 %"
"100 whey protein",17,"-1 %"
"esn protein pulver",17,"50 %"
"vanille whey protein",17,"10 %"
"whey isolate protein powder",17,"-4 %"
"protein shake",17,"3 %"
"lidl protein",17,"50 %"
"whey protein vanille",17,"5 %"
"whey protein lidl",16,"40 %"
"whey protein shake",16,"2 %"
"esn whey protein pulver",16,"40 %"
"iso whey protein",16,"10 %"
"isoclear",16,"20 %"
